"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","K1A","K1B","K1C","K1D","K2A","K2B","K2C","K2D","K3A","K3B","K3C","K3D","K4A","K4B","K4C","K4D","K5A","K5B","K5C","K5D","K6A","K6B","K6C","K6D","K7A","K7B","K7C","K7D","K8A","K8B","K8C","K8D","K9A","K9B","K9C","K9D","L1A","L2A","L3A","L4A_1","L4A_2","L4A_3","L4A_4","L4A_5","L5A","L6A","L7A","L8A","L9A","L1B","L2B","L3B","L4B_1","L4B_2","L4B_3","L4B_4","L4B_5","L5B","L6B","L7B","L8B","L9B","L1C","L2C","L3C","L4C_1","L4C_2","L4C_3","L4C_4","L4C_5","L5C","L6C","L7C","L8C","L9C","L1D","L2D","L3D","L4D_1","L4D_2","L4D_3","L4D_4","L4D_5","L5D","L6D","L7D","L8D","L9D","L1E","L2E","L3E","L4E_1","L4E_2","L4E_3","L4E_4","L4E_5","L5E","L6E","L7E","L8E","L9E","hhid","camp","ref_weight"
1,11,2,2,2,1,221.941,,,,,60,,0,0,0,,0,0,0,,0,0,0,,300,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,1,1,0,,,,,,0,0,0,,0,1,0,0,,,,,,0,0,0,,0,110200201,,
1,11,2,2,3,1,105.421975,,,,,120,,0,,30,,30,,0,,0,,0,,240,,60,,60,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,1,0,,,,,,0,0,0,,0,110200301,,
1,11,2,2,4,1,105.421975,,,,,60,120,60,25,0,0,0,50,0,0,0,0,180,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,110200401,,
1,11,2,2,5,1,105.421975,,,,,20,0,0,25,30,45,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,110200501,,
1,11,2,2,6,1,105.421975,,,,,150,,0,,30,,30,,0,,0,,0,,240,,60,,60,,120,,120,,120,,120,,120,,120,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,110200601,,
1,11,2,2,7,1,105.421975,,,,,60,,120,0,0,,30,60,0,,25,0,360,,650,0,40,,120,45,0,,0,35,0,,0,0,0,,0,0,1,0,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,2,0,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,110200701,,
1,11,2,2,8,1,221.941,,,,,60,,0,0,0,,0,0,0,,0,0,360,,400,0,40,,30,30,0,,0,40,0,,0,0,0,,0,0,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,110200801,,
1,11,2,2,9,1,105.421975,,,,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,110200901,,
1,11,2,2,10,1,221.941,,,,,60,40,30,40,90,0,0,0,120,0,0,0,0,0,0,0,30,40,60,40,60,40,0,40,0,0,0,0,0,0,0,0,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,1,1,0,,,,,,0,0,0,,0,0,,,,,,,,1,0,0,,0,0,,,,,,,,0,0,0,,0,110201001,,
1,11,2,2,11,1,221.941,,,,,15,,0,,40,,30,,0,,0,,0,,360,,45,,120,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,110201101,,
1,11,2,2,12,1,221.941,,,,,30,,0,,0,,0,,0,,0,,0,,0,,0,,0,,120,,0,,0,,0,,0,,0,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,110201201,,
1,11,2,2,13,1,221.941,,,,,15,,0,0,0,,0,0,0,,0,0,0,,360,0,0,,0,30,0,,0,30,0,,0,0,0,,0,0,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,110201301,,
1,11,2,2,14,1,221.941,,,,,60,0,0,0,40,0,30,0,30,0,20,0,0,0,0,0,40,30,60,30,30,40,360,40,60,40,40,40,40,40,40,40,0,,0,,,,,,0,0,0,,1,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,1,0,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,110201401,,
1,11,2,2,15,1,221.941,,,,,30,30,0,0,40,0,40,0,120,0,0,0,0,0,660,0,40,60,60,40,0,40,0,40,0,120,40,30,60,60,60,30,0,,0,,,,,,0,0,0,,1,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,110201501,,
1,11,2,2,16,1,221.941,,,,,65,0,0,,0,0,0,,0,0,0,,0,0,0,,0,60,45,,0,180,0,,0,0,0,,0,240,240,,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,110201601,,
1,11,2,2,18,1,221.941,,,,,150,0,0,0,30,0,30,30,60,0,0,30,0,0,0,0,60,30,60,60,0,120,0,120,120,0,120,0,0,0,0,30,1,1,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,110201801,,
1,11,2,2,22,1,221.941,,,,,60,,0,,0,,0,,0,,0,,720,,0,,0,,30,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,110202201,,
1,11,3,2,1,1,179.50659375,,,,,120,0,,0,60,30,,30,0,0,,120,0,0,,0,60,60,,60,0,120,,60,0,0,,0,0,0,,0,0,,0,,,,,,1,0,0,,1,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,110300101,,
1,11,3,2,2,1,179.50659375,,,,,40,0,,0,30,0,,0,0,0,,0,300,0,,0,30,60,,30,0,30,,300,0,0,,0,0,0,,0,1,0,0,,,,,,1,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,110300201,,
1,11,3,2,3,1,1566.603,,,,,120,,,,0,,,,0,,,,0,,,,30,,,,0,,,,0,,,,0,,,,1,0,1,0,0,0,0,1,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110300301,,
1,11,3,2,4,1,179.50659375,,,,,60,0,0,,30,30,30,,50,0,0,,0,0,540,,60,120,60,,0,120,120,,0,0,0,,0,0,0,,0,,0,,,,,,0,0,0,,0,2,0,2,0,2,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,,0,110300401,,
1,11,3,2,5,1,1566.603,,,,,120,0,0,,30,30,30,,30,30,30,,0,0,0,,0,0,0,,0,0,0,,30,30,30,,30,30,30,,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,110300501,,
1,11,3,2,6,1,179.50659375,,,,,,,32,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,110300601,,
1,11,3,2,7,1,179.50659375,,,,,60,90,60,0,360,0,60,0,60,30,0,0,420,0,720,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,110300701,,
1,11,3,2,8,1,179.50659375,,,,,0,,20,0,0,,15,0,0,,0,0,0,,660,0,0,,0,0,0,,0,300,0,,30,0,0,,30,120,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,110300801,,
1,11,3,2,9,1,1566.603,,,,,60,,,0,20,,,0,0,,,0,240,,,0,60,,,30,0,,,0,0,,,0,0,,,0,1,0,0,,,,,,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,110300901,,
1,11,3,2,10,1,1566.603,,,,,120,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,60,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,1,1,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,110301001,,
1,11,3,2,11,1,1566.603,,,,,180,45,0,0,0,30,0,0,60,0,0,0,380,0,520,0,0,0,50,0,0,120,0,30,60,120,30,40,45,80,40,0,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,110301101,,
1,11,3,2,12,1,1566.603,,,,,140,30,0,,0,0,0,,0,0,0,,200,0,450,,0,0,40,,0,50,0,,60,60,0,,0,30,0,,1,0,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,110301201,,
1,11,3,2,13,1,1566.603,,,,,60,0,0,0,0,30,0,0,0,40,0,0,60,0,420,0,0,35,0,0,0,60,0,30,0,30,0,40,0,45,0,40,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,110301301,,
1,11,3,2,14,1,179.50659375,,,,,60,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,50,60,0,,0,0,0,,0,0,0,,0,0,1,0,0,,,,,,0,0,0,,1,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,110301401,,
