"PROVINCE","DISTRICT","HI04","Cluster","HI05","HH_WT","TYPEHH","C003","C012","C012_OTHER","C013","C013_OTHER","C018","C018_OTHER","C019","C019_OTHER","C033","C033_OTHER","C034","C034_OTHER","C037_FIRST","C037_SECOND","C037_OTHER","C042","C042_OTHER","C052","C052_OTHER","C057","C057_OTHER","C058","C058_OTHER","C060","C060_OTHER","C074","C074_OTHER","C075","C075_OTHER","C088A","C088B","C088C","C088D","C088E","C088_OTHER","C091","C091_OTHER","C092","C092_OTHER","C102_FIRST","C102_SECOND","C102_OTHER","C108A","C108B","C108C","C108D","C108_OTHER","C114","C114_OTHER","C115","C115_OTHER","C122_FIRST","C122_SECOND","C122_OTHER","C126","C126_OTHER","C164_7","C168","C168_OTHER","C170_8","C170_OTHER","C003_OTHER","C001","C002","C004","C005","C006","C007","C008","C009","C010","C011","C014","C015","C016","C017","C020","C021","C022","C023","C024","C025","C026","C027A","C027B","C027C","C027D","C027E","C027F","C027G","C027H","C027I","C027J","C027K","C027L","C027M","C028A","C029A","C030A","C031A","C032A","C032A_UNITY","C028B","C029B","C030B","C031B","C032B","C032B_UNITY","C035","C036","C038","C039","C040","C041","C043","C044","C045","C046","C047","C048","C049","C050","C051","C053","C054","C055","C056","C059","C061","C062","C063","C064","C065","C066","C067","C068A","C068B","C068C","C068D","C068E","C068F","C068G","C068H","C068I","C068J","C068K","C068L","C068M","C069C","C070C","C071C","C072C","C073C","C073C_UNITY","C069D","C070D","C071D","C072D","C073D","C073D_UNITY","C076","C077","C078_FIRST","C078_SECOND","C078_OTHER","C079","C080","C081","C082","C083","C084","C085","C086A","C086B","C086C","C086D","C086E","C086F","C086G","C086H","C086I","C086J","C086K","C086L","C086M","C087","C089","C090","C093","C094","C095","C096","C097","C098","C099","C100","C100_UNITY","C101","C103","C104","C105","C106","C107A","C107B","C107C","C107D","C107E","C107F","C107G","C107H","C107I","C107J","C107K","C107L","C107M","C107N","C109","C110","C111","C112","C113","C116","C117","C118","C119","C120","C121","C123","C124","C125","C127","C152","C153","C154","C155","C156","C157","C158","C159","C160","C161","C162","C163","C164_1","C164_2","C164_3","C164_4","C164_5","C164_6","C164_8","C164_OTHER","C165","C166","C167","C169","C170_1","C170_2","C170_3","C170_4","C170_5","C170_6","C170_7","C171","C172","C173","C174","C175","C176","C177","hhid","camp","ref_weight"
1,11,1,1,15,400.7663,1,,1,,1,,2,,3,,10,,555,3,4,2,,4,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",1,,,7,111,,,,,1,1,1,4,3,,,,,15000,2,,,,1,,,,,,,,1,,0,23,3,888,888,,0,23,3,888,888,,999,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,,,2,110101501,,
1,11,1,1,16,400.7663,1,,2,,3,,4,,3,,13,,111,,111,111,,4,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",1,,,7,111,,,,,1,1,0,,3,,,,,5000,1,,,,,,,,,,,,,,,,,,,,0,24,4,888,888,,999,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,1,,,2,110101601,,
1,11,1,1,17,400.7663,1,,1,,3,,1,,3,,13,,555,9,111,111,,4,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",1,,,10,28000,2,15000,4,1,1,1,0,,1,1,,3000,15,3000,1,,,,,,,,,,,,,,,,,,,,0,24,3,2,5,1,999,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,,,1,110101701,,
1,11,1,1,19,400.7663,1,,1,,3,,555,15,3,,10,,111,,2,111,,1,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",1,,,13,25000,2,15000,4,1,1,1,0,,3,,,,,2000,1,,,,,,,,,,,,,,,,,,,,1,23,3,2,5,2,999,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,,,1,110101901,,
1,11,1,1,20,400.7663,1,,1,,3,,1,,2,,10,,111,,8,111,,5,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",1,,,15,888,2,888,888,888,1,1,1,4,3,,,,,1500,2,,,,1,,,,,,,,,,1,24,4,1,15,2,1,24,4,1,5,2,111,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,,,1,110102001,,
1,11,2,2,1,221.941,1,,1,,3,,1,,3,,13,,111,,111,111,,4,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",1,,,1,888,2,20000,888,0,1,1,0,,3,,,,,1000,1,,,,,,,,,,,,,,,,,,,,1,24,4,111,,,999,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,1,,,2,110200101,,
1,11,2,2,2,221.941,1,,1,,3,,111,,3,,13,,111,,111,111,,4,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"02",1,,,1,888,2,35000,888,0,1,1,0,,3,,,,,1000,1,,,,,,,,,,,,,,,,,,,,0,24,4,111,,,999,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,,,2,110200201,,
1,11,2,2,3,105.421975,1,8,,,,,,,,,,,,,,,,1,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,2,2,2,2,1600,2,110200301,,
1,11,2,2,4,105.421975,1,8,,,,,,,,,,,,,,,,1,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,2,2,2,2,1600,2,110200401,,
1,11,2,2,5,105.421975,1,1,,,,,,,,,,,,,,,,2,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,1,2,2,1,800,2,110200501,,
1,11,2,2,6,105.421975,1,1,,,,,,,,,,,,,,,,1,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,48,1,5600,0,1,24,4,1,0,,1,1,,1,,,,,,5,2021,1,2,1,1,,,,,,6,2,2,1,,,2,110200601,,
1,11,2,2,7,105.421975,1,2,,,,,,,,,,,,,,,,1,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",0,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,1,2,2,1,800,2,110200701,,
1,11,2,2,8,221.941,1,,1,,3,,2,,3,,13,,111,,111,111,,4,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",1,,,3,888,2,888,888,0,1,1,0,,3,,,,,1000,1,,,,,,,,,,,,,,,,,,,,0,24,4,6,35,2,999,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,,,2,110200801,,
1,11,2,2,9,105.421975,1,7,,,,,,,,,,,,,,,,1,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"02",0,1,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,4,1,2,4,3200,2,110200901,,
1,11,2,2,10,221.941,1,,2,,3,,4,,555,18,13,,111,,5,111,,4,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",1,,,1,60000,2,5000,60,0,1,1,0,,3,,,,,700,1,,,,,,,,,,,,,,,,,,,,0,24,4,1,5,2,999,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,,,2,110201001,,
1,11,2,2,11,221.941,1,,1,,2,,2,,3,,10,,111,,111,111,,4,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",1,,,1,888,2,888,888,0,1,1,0,,3,,,,,1000,1,,,,,,,,,,,,,,,,,,,,0,24,4,10,45,2,999,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,,,2,110201101,,
1,11,2,2,12,221.941,1,,111,,,,,,,,10,,111,,111,111,,4,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",1,,,1,65000,2,20000,30,0,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,12,4,1,40,2,111,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,1,,,2,110201201,,
1,11,2,2,13,221.941,1,,111,,,,,,,,10,,111,,111,111,,2,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",1,,,7,56000,2,25000,3,0,,,0,,,,,,,,2,,,1,1,,,,,,,1,1,,0,12,4,1,30,2,0,12,4,1,30,2,111,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,,,2,110201301,,
1,11,2,2,14,221.941,1,,2,,1,,4,,555,18,13,,111,,5,111,,4,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",1,,,12,57000,2,20000,2,1,1,1,0,,3,,,,,4000,1,,,,,,,,,,,,,,,,,,,,0,24,4,1,5,2,999,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,,,2,110201401,,
1,11,2,2,15,221.941,1,,2,,3,,555,19,555,18,13,,111,,7,111,,4,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",1,,,5,60000,2,5000,1,1,1,1,1,5,3,,,,,1000,1,,,,,,,,,,,,,,,,,,,,0,24,4,1,5,2,999,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,,,2,110201501,,
1,11,2,2,16,221.941,1,,1,,1,,4,,3,,13,,111,,111,111,,1,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",1,,,1,888,2,15000,5,0,1,1,0,,3,,,,,700,2,,,,1,1,,,,,,,,,0,23,4,1,20,2,0,24,4,1,5,2,999,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,,,2,110201601,,
1,11,2,2,18,221.941,1,,1,,3,,4,,3,,13,,111,,5,3,,1,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",1,,,3,111,,,,,1,1,1,1,3,,,,,5000,2,,,,1,,,,,,,,,,0,24,4,3,30,2,0,24,4,3,30,2,2,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,,,2,110201801,,
1,11,2,2,22,221.941,1,,6,,3,,111,,2,,10,,111,,111,111,,2,,," ",," ",," ",," ",," ",," ",,,,,," ",," ",," ",,," ",,,,," ",," ",," ",,," ",,,,," ",,,,"01",1,,,1,111,,,,,1,1,0,,3,,,,,2000,1,,,,,,,,,,,,,,,,,,,,1,24,3,111,,,111,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,,,2,110202201,,
